,size,train_scores,test_scores,combs
863,5,0.7055419151175026,0.7154,"('HomeOwnerFlag', 'NumberCarsOwned', 'Sex', 'JobType', 'EducationType')"
864,5,0.7007190459487899,0.71,"('HomeOwnerFlag', 'NumberCarsOwned', 'Sex', 'JobType', 'Country')"
865,5,0.6851104875482287,0.6876,"('HomeOwnerFlag', 'NumberCarsOwned', 'Sex', 'JobType', 'Income')"
866,5,0.7025605050859347,0.7158,"('HomeOwnerFlag', 'NumberCarsOwned', 'Sex', 'JobType', 'AgeBracket')"
867,5,0.7009821115398106,0.7078,"('HomeOwnerFlag', 'NumberCarsOwned', 'Sex', 'JobType', 'ChildrenFlag')"
868,5,0.7001052262364083,0.7094,"('HomeOwnerFlag', 'NumberCarsOwned', 'Sex', 'EducationType', 'Country')"
869,5,0.704928095405121,0.709,"('HomeOwnerFlag', 'NumberCarsOwned', 'Sex', 'EducationType', 'Income')"
870,5,0.7032620133286566,0.7148,"('HomeOwnerFlag', 'NumberCarsOwned', 'Sex', 'EducationType', 'AgeBracket')"
871,5,0.7047527183444405,0.7126,"('HomeOwnerFlag', 'NumberCarsOwned', 'Sex', 'EducationType', 'ChildrenFlag')"
872,5,0.6908102420203437,0.6964,"('HomeOwnerFlag', 'NumberCarsOwned', 'Sex', 'Country', 'Income')"
873,5,0.70457734128376,0.7136,"('HomeOwnerFlag', 'NumberCarsOwned', 'Sex', 'Country', 'AgeBracket')"
874,5,0.7048404068747808,0.7114,"('HomeOwnerFlag', 'NumberCarsOwned', 'Sex', 'Country', 'ChildrenFlag')"
875,5,0.7127323746054016,0.7196,"('HomeOwnerFlag', 'NumberCarsOwned', 'Sex', 'Income', 'AgeBracket')"
876,5,0.6908979305506839,0.696,"('HomeOwnerFlag', 'NumberCarsOwned', 'Sex', 'Income', 'ChildrenFlag')"
877,5,0.7135215713784637,0.727,"('HomeOwnerFlag', 'NumberCarsOwned', 'Sex', 'AgeBracket', 'ChildrenFlag')"
878,5,0.6990529638723255,0.703,"('HomeOwnerFlag', 'NumberCarsOwned', 'Married', 'JobType', 'EducationType')"
879,5,0.6971238162048404,0.703,"('HomeOwnerFlag', 'NumberCarsOwned', 'Married', 'JobType', 'Country')"
880,5,0.7138723254998246,0.714,"('HomeOwnerFlag', 'NumberCarsOwned', 'Married', 'JobType', 'Income')"
881,5,0.6883549631708172,0.6896,"('HomeOwnerFlag', 'NumberCarsOwned', 'Married', 'JobType', 'AgeBracket')"
882,5,0.7014205541915117,0.7092,"('HomeOwnerFlag', 'NumberCarsOwned', 'Married', 'JobType', 'ChildrenFlag')"
883,5,0.6987898982813048,0.7062,"('HomeOwnerFlag', 'NumberCarsOwned', 'Married', 'EducationType', 'Country')"
884,5,0.7138723254998246,0.7186,"('HomeOwnerFlag', 'NumberCarsOwned', 'Married', 'EducationType', 'Income')"
885,5,0.7072956857243072,0.712,"('HomeOwnerFlag', 'NumberCarsOwned', 'Married', 'EducationType', 'AgeBracket')"
886,5,0.7033497018589968,0.7066,"('HomeOwnerFlag', 'NumberCarsOwned', 'Married', 'EducationType', 'ChildrenFlag')"
887,5,0.7150122763942476,0.7174,"('HomeOwnerFlag', 'NumberCarsOwned', 'Married', 'Country', 'Income')"
888,5,0.7020343739038933,0.7104,"('HomeOwnerFlag', 'NumberCarsOwned', 'Married', 'Country', 'AgeBracket')"
889,5,0.7007190459487899,0.7076,"('HomeOwnerFlag', 'NumberCarsOwned', 'Married', 'Country', 'ChildrenFlag')"
890,5,0.723868817958611,0.7256,"('HomeOwnerFlag', 'NumberCarsOwned', 'Married', 'Income', 'AgeBracket')"
891,5,0.7122939319537005,0.7138,"('HomeOwnerFlag', 'NumberCarsOwned', 'Married', 'Income', 'ChildrenFlag')"
892,5,0.708698702209751,0.7136,"('HomeOwnerFlag', 'NumberCarsOwned', 'Married', 'AgeBracket', 'ChildrenFlag')"
893,5,0.6976499473868818,0.7116,"('HomeOwnerFlag', 'NumberCarsOwned', 'JobType', 'EducationType', 'Country')"
894,5,0.7043142756927394,0.7082,"('HomeOwnerFlag', 'NumberCarsOwned', 'JobType', 'EducationType', 'Income')"
895,5,0.7051911609961417,0.7162,"('HomeOwnerFlag', 'NumberCarsOwned', 'JobType', 'EducationType', 'AgeBracket')"
896,5,0.7136969484391441,0.7252,"('HomeOwnerFlag', 'NumberCarsOwned', 'JobType', 'EducationType', 'ChildrenFlag')"
897,5,0.6979130129779025,0.703,"('HomeOwnerFlag', 'NumberCarsOwned', 'JobType', 'Country', 'Income')"
898,5,0.7071203086636269,0.7172,"('HomeOwnerFlag', 'NumberCarsOwned', 'JobType', 'Country', 'AgeBracket')"
899,5,0.7061557348298843,0.7198,"('HomeOwnerFlag', 'NumberCarsOwned', 'JobType', 'Country', 'ChildrenFlag')"
900,5,0.7043142756927394,0.7072,"('HomeOwnerFlag', 'NumberCarsOwned', 'JobType', 'Income', 'AgeBracket')"
901,5,0.6688004209049456,0.6702,"('HomeOwnerFlag', 'NumberCarsOwned', 'JobType', 'Income', 'ChildrenFlag')"
902,5,0.714398456681866,0.7282,"('HomeOwnerFlag', 'NumberCarsOwned', 'JobType', 'AgeBracket', 'ChildrenFlag')"
903,5,0.6986145212206244,0.7032,"('HomeOwnerFlag', 'NumberCarsOwned', 'EducationType', 'Country', 'Income')"
904,5,0.7065064889512451,0.72,"('HomeOwnerFlag', 'NumberCarsOwned', 'EducationType', 'Country', 'AgeBracket')"
905,5,0.7059803577692038,0.7224,"('HomeOwnerFlag', 'NumberCarsOwned', 'EducationType', 'Country', 'ChildrenFlag')"
906,5,0.7218519817607857,0.7288,"('HomeOwnerFlag', 'NumberCarsOwned', 'EducationType', 'Income', 'AgeBracket')"
907,5,0.7074710627849877,0.7076,"('HomeOwnerFlag', 'NumberCarsOwned', 'EducationType', 'Income', 'ChildrenFlag')"
908,5,0.7151876534549281,0.729,"('HomeOwnerFlag', 'NumberCarsOwned', 'EducationType', 'AgeBracket', 'ChildrenFlag')"
909,5,0.7068572430726061,0.7112,"('HomeOwnerFlag', 'NumberCarsOwned', 'Country', 'Income', 'AgeBracket')"
910,5,0.6922132585057874,0.6978,"('HomeOwnerFlag', 'NumberCarsOwned', 'Country', 'Income', 'ChildrenFlag')"
911,5,0.7144861452122062,0.7266,"('HomeOwnerFlag', 'NumberCarsOwned', 'Country', 'AgeBracket', 'ChildrenFlag')"
912,5,0.7097509645738338,0.7122,"('HomeOwnerFlag', 'NumberCarsOwned', 'Income', 'AgeBracket', 'ChildrenFlag')"
913,5,0.7660470010522623,0.776,"('HomeOwnerFlag', 'NumberChildrenAtHome', 'AreaCode', 'Sex', 'Married')"
914,5,0.7612241318835496,0.7668,"('HomeOwnerFlag', 'NumberChildrenAtHome', 'AreaCode', 'Sex', 'JobType')"
